price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood,square_meters_price,Predicciones
2600,5,3,True,True,180,flat,Les Corts,14.444444444444445,2600.0
3600,4,4,True,False,248,apartment,Les Corts,14.516129032258064,3600.0
2000,4,2,True,True,150,flat,Les Corts,13.333333333333334,2000.0
3600,4,4,True,True,170,flat,Les Corts,21.176470588235293,3600.0
3000,4,4,True,False,235,flat,Les Corts,12.76595744680851,3000.0
2750,5,3,True,False,160,flat,Les Corts,17.1875,2750.0
3500,3,3,True,True,191,apartment,Les Corts,18.32460732984293,3500.0
1035,3,2,True,False,85,flat,Eixample,12.176470588235292,1050.0
775,1,1,False,False,39,flat,Sant Martí,19.871794871794872,775.0
800,3,2,True,False,83,flat,Sants-Montjuïc,9.63855421686747,800.0
650,2,1,False,False,56,flat,Horta- Guinardo,11.607142857142858,650.0
825,1,1,False,False,50,flat,Gràcia,16.5,825.0
890,1,1,True,False,55,flat,Eixample,16.181818181818183,890.0
900,3,1,True,False,75,flat,Sants-Montjuïc,12.0,900.0
1000,3,2,True,False,74,flat,Sants-Montjuïc,13.513513513513514,1000.0
2000,2,1,True,False,65,flat,Sarria-Sant Gervasi,30.76923076923077,2000.0
790,2,1,True,False,88,flat,Sant Andreu,8.977272727272727,850.0
1600,4,2,True,False,122,flat,Eixample,13.114754098360656,1600.0
2500,2,2,True,True,116,flat,Sant Martí,21.55172413793104,2500.0
1050,2,1,True,False,60,flat,Sarria-Sant Gervasi,17.5,1050.0
990,2,1,True,True,81,flat,Gràcia,12.22222222222222,990.0
950,2,1,True,False,50,flat,Gràcia,19.0,950.0
1100,2,1,True,False,60,apartment,Sarria-Sant Gervasi,18.33333333333333,1100.0
990,3,1,True,True,81,flat,Sants-Montjuïc,12.22222222222222,990.0
1300,2,1,True,True,91,attic,Eixample,14.285714285714286,1300.0
1000,3,2,True,True,79,flat,Gràcia,12.658227848101266,1008.0
1150,4,1,True,False,85,flat,Eixample,13.529411764705882,1150.0
935,2,1,True,False,65,attic,Sants-Montjuïc,14.384615384615383,935.0
875,1,1,True,True,54,flat,Sarria-Sant Gervasi,16.203703703703702,875.0
2200,4,3,True,True,235,flat,Sarria-Sant Gervasi,9.361702127659576,2200.0
1800,4,2,True,False,90,attic,Sant Martí,20.0,1800.0
1500,2,1,True,False,75,flat,Eixample,20.0,1500.0
12000,3,3,True,True,200,attic,Sant Martí,60.0,12000.0
2200,3,2,True,True,123,flat,Eixample,17.88617886178862,2200.0
2120,3,2,True,False,100,flat,Eixample,21.2,2000.0
1500,2,1,True,False,50,flat,Eixample,30.0,1500.0
1350,3,2,False,False,111,flat,Sarria-Sant Gervasi,12.16216216216216,1350.0
4000,4,3,True,False,170,flat,Les Corts,23.529411764705884,3460.0
1800,2,2,True,False,82,flat,Eixample,21.951219512195124,1750.0
2000,3,2,True,False,110,flat,Sarria-Sant Gervasi,18.181818181818183,2000.0
8500,5,5,True,True,480,flat,Sarria-Sant Gervasi,17.708333333333332,8500.0
2500,2,1,True,False,70,flat,Ciutat Vella,35.714285714285715,2500.0
1900,2,1,True,False,70,flat,Eixample,27.142857142857142,1890.0
1950,2,2,True,True,91,flat,Ciutat Vella,21.428571428571427,1950.0
1300,1,1,False,False,55,flat,Sarria-Sant Gervasi,23.63636363636364,1300.0
5500,4,2,True,True,230,flat,Sant Martí,23.91304347826087,5500.0
750,1,1,True,False,47,flat,Sarria-Sant Gervasi,15.95744680851064,735.0
1350,2,2,True,False,64,flat,Eixample,21.09375,1278.0
1463,4,2,True,False,120,flat,Ciutat Vella,12.191666666666666,1463.0
2900,3,2,True,False,180,flat,Eixample,16.11111111111111,2900.0
1350,3,1,True,True,146,flat,Eixample,9.246575342465754,1400.0
1175,2,1,True,False,65,flat,Sarria-Sant Gervasi,18.07692307692308,1180.0
1350,2,1,False,False,74,flat,Horta- Guinardo,18.24324324324324,1400.0
1839,5,2,True,False,140,flat,Ciutat Vella,13.135714285714286,1850.0
3600,3,4,True,True,176,flat,Les Corts,20.454545454545453,3600.0
1125,2,1,True,False,70,flat,Sarria-Sant Gervasi,16.071428571428573,1125.0
1200,2,1,True,False,40,flat,Horta- Guinardo,30.0,1200.0
1950,5,2,True,False,140,flat,Sarria-Sant Gervasi,13.928571428571429,1975.0
1700,2,1,True,True,90,flat,Sarria-Sant Gervasi,18.88888888888889,1700.0
1550,2,2,True,True,85,flat,Ciutat Vella,18.23529411764705,1550.0
980,1,1,True,False,40,flat,Horta- Guinardo,24.5,980.0
1800,2,2,True,True,80,flat,Eixample,22.5,1800.0
2420,3,2,True,True,106,flat,Eixample,22.83018867924528,2420.0
1300,2,2,True,False,65,flat,Eixample,20.0,1300.0
1300,3,2,True,False,64,flat,Horta- Guinardo,20.3125,1300.0
1600,2,1,True,True,72,flat,Eixample,22.22222222222222,1600.0
1300,3,1,True,False,64,flat,Horta- Guinardo,20.3125,1300.0
980,1,1,True,False,40,flat,Horta- Guinardo,24.5,980.0
7500,4,3,True,True,160,attic,Sant Martí,46.875,7500.0
1500,2,1,True,False,80,flat,Eixample,18.75,1500.0
2000,4,2,True,False,150,flat,Eixample,13.333333333333334,2000.0
1050,2,1,False,False,77,flat,Ciutat Vella,13.636363636363637,1050.0
2700,4,4,True,True,156,flat,Les Corts,17.307692307692307,2700.0
3300,5,3,True,True,214,flat,Sarria-Sant Gervasi,15.42056074766355,3300.0
1600,3,2,True,False,129,flat,Sarria-Sant Gervasi,12.4031007751938,1600.0
1117,2,1,True,True,55,flat,Eixample,20.30909090909091,1117.0
1400,3,2,False,True,104,flat,Eixample,13.461538461538462,1400.0
770,1,1,False,False,59,flat,Sants-Montjuïc,13.05084745762712,770.0
950,2,1,True,True,69,flat,Eixample,13.768115942028986,950.0
2800,2,2,True,True,96,flat,Sarria-Sant Gervasi,29.166666666666668,2800.0
2300,5,2,True,True,150,flat,Eixample,15.333333333333334,2300.0
8000,4,4,True,True,350,attic,Eixample,22.857142857142858,8000.0
2300,3,2,True,True,125,flat,Sant Martí,18.4,2300.0
2200,2,2,True,False,102,flat,Eixample,21.5686274509804,2200.0
1300,1,1,True,False,52,flat,Ciutat Vella,25.0,1300.0
1100,2,1,True,False,60,flat,Sants-Montjuïc,18.33333333333333,1100.0
900,2,1,False,False,66,flat,Eixample,13.636363636363637,900.0
2655,2,2,True,True,139,flat,Sarria-Sant Gervasi,19.10071942446044,2550.0
2200,4,3,True,False,210,flat,Eixample,10.476190476190476,2400.0
1250,2,2,True,False,86,flat,Ciutat Vella,14.534883720930232,1250.0
1550,2,2,True,True,110,flat,Sarria-Sant Gervasi,14.090909090909092,1550.0
1250,2,2,True,False,96,flat,Sarria-Sant Gervasi,13.020833333333334,1250.0
765,1,1,False,True,39,flat,Ciutat Vella,19.615384615384617,765.0
950,2,1,False,False,65,flat,Eixample,14.615384615384617,950.0
1800,4,2,True,False,150,flat,Eixample,12.0,1800.0
2900,4,2,True,True,153,flat,Sarria-Sant Gervasi,18.954248366013072,2900.0
1600,3,2,True,False,66,flat,Sant Martí,24.24242424242424,1600.0
1250,4,2,True,False,82,flat,Eixample,15.24390243902439,1250.0
3800,5,4,True,False,287,flat,Sarria-Sant Gervasi,13.2404181184669,3800.0
2934,3,2,True,True,117,flat,Eixample,25.07692307692308,2934.0
2467,2,2,True,True,102,flat,Sarria-Sant Gervasi,24.186274509803923,2467.0
950,2,1,True,False,64,flat,Sarria-Sant Gervasi,14.84375,950.0
1000,3,1,True,False,75,flat,Sants-Montjuïc,13.333333333333334,1000.0
900,2,1,False,False,65,flat,Eixample,13.846153846153848,900.0
1500,3,2,True,False,76,flat,Sant Martí,19.73684210526316,1500.0
1100,2,1,False,False,60,flat,Les Corts,18.33333333333333,1100.0
1500,2,1,True,True,56,flat,Eixample,26.785714285714285,1500.0
900,1,1,True,False,45,flat,Ciutat Vella,20.0,900.0
2550,4,2,True,True,166,flat,Les Corts,15.36144578313253,2550.0
1800,2,1,True,True,70,flat,Ciutat Vella,25.714285714285715,1800.0
1400,2,1,True,False,77,flat,Eixample,18.181818181818183,1400.0
2278,3,2,True,True,123,flat,Sarria-Sant Gervasi,18.520325203252032,2278.0
1200,1,1,True,False,55,flat,Sarria-Sant Gervasi,21.818181818181817,1200.0
990,2,1,True,False,74,flat,Eixample,13.37837837837838,990.0
1050,2,1,True,False,37,flat,Sarria-Sant Gervasi,28.37837837837838,1050.0
2450,5,2,True,True,211,flat,Eixample,11.611374407582938,2450.0
3500,2,3,True,True,137,flat,Eixample,25.547445255474454,3500.0
900,1,1,True,False,50,flat,Eixample,18.0,900.0
900,2,2,True,False,70,flat,Sants-Montjuïc,12.857142857142858,900.0
3300,3,2,True,True,160,flat,Sarria-Sant Gervasi,20.625,3200.0
750,1,1,False,False,40,flat,Ciutat Vella,18.75,750.0
1150,1,1,True,False,50,flat,Eixample,23.0,1150.0
900,2,2,False,False,70,flat,Sants-Montjuïc,12.857142857142858,900.0
2300,4,2,True,True,128,flat,Sarria-Sant Gervasi,17.96875,2150.0
1400,4,2,False,False,93,flat,Les Corts,15.053763440860216,1350.0
1090,2,2,True,False,89,flat,Sarria-Sant Gervasi,12.247191011235955,1100.0
1260,2,1,False,False,47,flat,Sant Martí,26.80851063829787,1260.0
8500,3,3,True,True,140,apartment,Eixample,60.71428571428572,8500.0
1100,2,1,True,False,80,flat,Ciutat Vella,13.75,1100.0
1100,1,1,True,False,65,flat,Eixample,16.923076923076923,1100.0
1450,2,2,True,True,95,flat,Les Corts,15.263157894736842,1450.0
1800,3,2,True,True,120,attic,Sarria-Sant Gervasi,15.0,1800.0
2500,3,2,True,False,105,apartment,Eixample,23.80952380952381,2500.0
2200,3,2,True,True,155,apartment,Sarria-Sant Gervasi,14.193548387096774,2200.0
2000,3,2,True,False,150,apartment,Ciutat Vella,13.333333333333334,2000.0
1300,1,1,True,False,45,apartment,Ciutat Vella,28.88888888888889,1300.0
8000,4,4,True,True,350,attic,Eixample,22.857142857142858,8000.0
2070,3,2,True,False,92,flat,Sant Martí,22.5,2070.0
695,2,1,False,False,70,flat,Nou Barris,9.928571428571429,695.0
850,3,1,True,False,77,flat,Horta- Guinardo,11.03896103896104,850.0
1100,4,2,True,False,110,flat,Eixample,10.0,1150.0
900,3,2,True,False,90,flat,Sarria-Sant Gervasi,10.0,900.0
1420,3,3,True,False,117,flat,Eixample,12.136752136752136,1420.0
650,1,1,True,False,50,flat,Nou Barris,13.0,650.0
1600,5,2,True,False,138,flat,Eixample,11.594202898550725,1600.0
3500,5,3,True,True,220,flat,Sarria-Sant Gervasi,15.909090909090908,3500.0
790,3,1,False,False,75,flat,Horta- Guinardo,10.533333333333331,790.0
950,3,1,True,False,80,flat,Eixample,11.875,950.0
1600,4,2,True,False,111,flat,Les Corts,14.414414414414416,1600.0
1450,4,2,True,False,106,flat,Sants-Montjuïc,13.679245283018869,1450.0
1300,2,1,True,False,73,flat,Gràcia,17.80821917808219,1300.0
1050,4,2,True,False,98,flat,Eixample,10.714285714285714,1050.0
850,2,1,False,True,71,flat,Sants-Montjuïc,11.971830985915492,850.0
850,2,1,False,False,74,flat,Eixample,11.486486486486486,850.0
690,2,1,False,False,47,flat,Sants-Montjuïc,14.680851063829786,690.0
875,3,1,False,False,69,flat,Sants-Montjuïc,12.681159420289855,875.0
1125,2,1,True,True,75,flat,Eixample,15.0,1125.0
700,1,1,False,False,32,flat,Ciutat Vella,21.875,700.0
700,2,1,False,False,53,flat,Ciutat Vella,13.20754716981132,700.0
890,1,1,True,False,50,flat,Sarria-Sant Gervasi,17.8,890.0
795,3,2,True,True,75,flat,Sant Martí,10.6,795.0
1200,3,2,False,False,70,flat,Ciutat Vella,17.142857142857142,1200.0
700,1,1,False,False,40,flat,Ciutat Vella,17.5,700.0
850,2,1,False,False,50,flat,Ciutat Vella,17.0,850.0
800,3,1,True,False,80,flat,Sant Martí,10.0,800.0
750,3,1,True,False,80,flat,Horta- Guinardo,9.375,750.0
1150,4,1,True,True,100,flat,Gràcia,11.5,1150.0
3250,4,3,True,True,184,flat,Sarria-Sant Gervasi,17.66304347826087,3250.0
1000,3,2,False,True,80,flat,Sants-Montjuïc,12.5,1000.0
1150,4,1,True,False,90,flat,Sant Martí,12.77777777777778,1150.0
635,0,1,False,False,37,flat,Ciutat Vella,17.16216216216216,635.0
1595,2,2,True,True,80,flat,Sant Martí,19.9375,1595.0
1145,2,1,True,False,58,flat,Eixample,19.74137931034483,1145.0
890,2,1,True,False,60,flat,Eixample,14.833333333333334,890.0
795,0,1,True,False,34,flat,Sarria-Sant Gervasi,23.38235294117647,795.0
680,1,1,True,False,55,flat,Ciutat Vella,12.363636363636363,680.0
865,2,1,False,False,68,flat,Gràcia,12.720588235294118,865.0
1320,3,2,True,False,94,flat,Sarria-Sant Gervasi,14.04255319148936,1320.0
840,3,1,False,False,66,flat,Sant Martí,12.727272727272728,840.0
1450,4,2,True,True,95,flat,Eixample,15.263157894736842,1450.0
850,3,1,True,False,80,flat,Nou Barris,10.625,850.0
1380,4,2,True,True,100,flat,Eixample,13.8,1380.0
1250,3,2,True,True,86,attic,Gràcia,14.534883720930232,1250.0
720,3,1,False,True,60,flat,Sant Martí,12.0,720.0
790,0,1,False,True,36,study,Ciutat Vella,21.944444444444443,790.0
1100,3,1,True,False,80,flat,Sant Martí,13.75,1100.0
1200,4,2,False,True,125,flat,Sants-Montjuïc,9.6,1200.0
1216,3,1,True,False,85,flat,Sarria-Sant Gervasi,14.305882352941175,1216.0
800,1,1,True,False,45,flat,Sarria-Sant Gervasi,17.77777777777778,800.0
1150,4,2,True,False,85,flat,Sarria-Sant Gervasi,13.529411764705882,1150.0
1150,4,2,True,False,85,flat,Sarria-Sant Gervasi,13.529411764705882,1150.0
800,1,1,True,False,45,flat,Sarria-Sant Gervasi,17.77777777777778,800.0
900,2,1,True,False,72,flat,Nou Barris,12.5,900.0
1000,1,1,True,False,45,flat,Sarria-Sant Gervasi,22.22222222222222,1000.0
900,1,1,True,True,60,flat,Sarria-Sant Gervasi,15.0,900.0
900,1,1,True,True,60,flat,Sarria-Sant Gervasi,15.0,900.0
900,3,2,True,False,69,flat,Horta- Guinardo,13.043478260869565,900.0
850,3,1,True,False,61,flat,Sant Martí,13.934426229508198,850.0
825,2,1,True,False,50,flat,Eixample,16.5,825.0
2100,2,2,True,True,92,apartment,Eixample,22.82608695652174,2100.0
6500,5,4,True,True,305,attic,Sarria-Sant Gervasi,21.311475409836067,6500.0
890,1,1,True,False,40,flat,Ciutat Vella,22.25,890.0
1350,4,2,False,False,135,flat,Gràcia,10.0,1350.0
795,0,1,True,False,57,flat,Eixample,13.947368421052632,795.0
750,2,1,False,False,52,flat,Gràcia,14.423076923076923,750.0
1200,2,1,False,False,80,flat,Eixample,15.0,1200.0
800,3,1,False,False,64,flat,Gràcia,12.5,800.0
2000,2,2,True,True,126,flat,Gràcia,15.873015873015872,2000.0
950,3,2,True,False,83,flat,Les Corts,11.44578313253012,950.0
750,2,1,False,False,65,flat,Ciutat Vella,11.538461538461538,750.0
800,1,1,True,True,45,flat,Sants-Montjuïc,17.77777777777778,800.0
750,2,1,True,False,52,flat,Sants-Montjuïc,14.423076923076923,750.0
800,1,1,True,False,45,flat,Eixample,17.77777777777778,800.0
750,2,1,True,True,50,flat,Gràcia,15.0,750.0
800,1,1,True,False,36,flat,Sants-Montjuïc,22.22222222222222,800.0
685,1,1,False,False,60,study,Ciutat Vella,11.416666666666666,685.0
750,2,1,False,False,50,flat,Sants-Montjuïc,15.0,750.0
1250,3,2,True,False,92,flat,Eixample,13.58695652173913,1250.0
1000,2,1,True,False,73,flat,Sant Andreu,13.6986301369863,1000.0
1100,1,1,True,False,55,apartment,Sarria-Sant Gervasi,20.0,1100.0
1200,2,1,True,False,72,apartment,Eixample,16.666666666666668,1200.0
800,3,1,True,False,64,flat,Eixample,12.5,800.0
1440,4,2,True,True,136,flat,Eixample,10.588235294117649,1440.0
1100,3,2,True,True,125,flat,Eixample,8.8,1100.0
895,2,1,False,True,63,attic,Ciutat Vella,14.206349206349206,895.0
1100,4,2,True,False,136,flat,Sant Martí,8.088235294117647,1100.0
1700,3,2,True,False,90,flat,Sarria-Sant Gervasi,18.88888888888889,1700.0
750,1,1,True,True,42,flat,Sarria-Sant Gervasi,17.857142857142858,750.0
2700,4,3,True,False,170,flat,Sarria-Sant Gervasi,15.882352941176473,2700.0
1220,3,1,True,False,99,flat,Sarria-Sant Gervasi,12.323232323232324,1220.0
700,1,2,False,False,100,flat,Sant Andreu,7.0,700.0
1000,3,2,True,False,65,flat,Les Corts,15.384615384615383,1000.0
850,2,1,True,False,58,apartment,Eixample,14.655172413793103,850.0
995,3,2,False,True,109,flat,Sants-Montjuïc,9.128440366972477,1020.0
